"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000280739",493.553656620425,0.0509320122940009,0.141670305399229,0.359510852683444,0.719212960496772,0.86520919945866
"ENSG00000286695",47.3699489336643,-0.553314745024825,0.484383980139056,-1.14230603759022,0.253326832506042,0.486297680887138
"ENSG00000240057",103.020090519633,-0.264689051984702,0.28824939569039,-0.918264030877643,0.358480653477205,0.599801346110913
"ENSG00000302125",2.36982014211923,0.764595071472905,1.91075272835442,0.400153855664721,0.689043199372273,NA
"ENSG00000243795",4.07120611730977,-1.61548776174047,1.49108668946357,-1.08342980536005,0.278617692082049,NA
"ENSG00000302205",2.67917037623466,-0.280445697765146,1.95024351060198,-0.143800349156697,0.885658127154499,NA
"ENSG00000293294",195.822700324102,-0.76441494073049,0.242512041578417,-3.15207004054401,0.00162117381241344,0.0109881170028349
"ENSG00000302344",186.96430602193,-0.15207155502882,0.214372582990757,-0.709379683293624,0.478088892026433,0.70468276956462
"ENSG00000287645",91.3717749755796,0.201777207973501,0.306063656901725,0.659265494035086,0.509725296324094,0.727236303332904
"ENSG00000302359",45.5097187996762,0.326162937009678,0.429168764358335,0.759987594850561,0.447262000023867,NA
"ENSG00000244302",2.08508194178294,-2.42405422244846,2.27743790751449,-1.06437774415285,0.287157611757799,NA
"ENSG00000302381",12.9920532608874,0.167600962223268,0.766045686128937,0.218787162773811,0.826815847249253,NA
"ENSG00000286168",4.39555967104109,0.912457543694083,1.58794208157102,0.574616388269873,0.565550766020312,NA
"ENSG00000249846",25.4528023530178,-0.0772516742006275,0.606199472618182,-0.127436063028852,0.898595274740385,NA
"ENSG00000302535",9.91179608607651,0.143273331461526,0.989139230986309,0.144846475575195,0.884832086925821,NA
"ENSG00000302544",2.56754991816581,-1.83000608083863,1.85806511503932,-0.984898788544289,0.324673788511432,NA
"ENSG00000302700",3.09601628050547,-1.8037740027124,1.81038581174496,-0.996347845310287,0.319081164350501,NA
"ENSG00000288926",18.6913100889957,-0.529357007476183,0.706524308787703,-0.749241039398185,0.453711937724154,NA
"ENSG00000302867",4.50766257059053,0.178637028414045,1.29291010883515,0.138166626738644,0.890108730091329,NA
"ENSG00000302921",2.58772291862818,-2.02953080243776,1.92157738674038,-1.05617958269196,0.290886176940465,NA
"ENSG00000287873",2.61911222498508,-2.50070251469357,1.95029870658065,-1.28221513261316,0.199767189194426,NA
